Date,50 DMA
2024-06-06,1341.84
2024-06-07,1343.29
2024-06-10,1344.89
2024-06-11,1347.19
2024-06-12,1349.02
2024-06-13,1351.2
2024-06-14,1354.31
2024-06-18,1357.87
2024-06-19,1361.42
2024-06-20,1365.65
2024-06-21,1370.35
2024-06-24,1373.88
2024-06-25,1377.11
2024-06-26,1380.66
2024-06-27,1384.77
2024-06-28,1388.43
2024-07-01,1391.81
2024-07-02,1395.07
2024-07-03,1399.6
2024-07-04,1403.68
2024-07-05,1407.47
2024-07-08,1410.13
2024-07-09,1412.79
2024-07-10,1415.74
2024-07-11,1418.41
2024-07-12,1421.09
2024-07-15,1423.99
2024-07-16,1426.93
2024-07-18,1429.56
2024-07-19,1431.11
2024-07-22,1432.54
2024-07-23,1435.47
2024-07-24,1437.4
2024-07-25,1439.35
2024-07-26,1443.4
2024-07-29,1447.53
2024-07-30,1451.4
2024-07-31,1456.05
2024-08-01,1461.31
2024-08-02,1466.28
2024-08-05,1467.36
2024-08-06,1468.41
2024-08-07,1471.36
2024-08-08,1473.23
2024-08-09,1475.61
2024-08-12,1476.62
2024-08-13,1476.89
2024-08-14,1476.3
2024-08-16,1476.97
2024-08-19,1477.74
2024-08-20,1478.32
2024-08-21,1479.31
2024-08-22,1479.82
2024-08-23,1480.27
2024-08-26,1480.36
2024-08-27,1480.28
2024-08-28,1479.87
2024-08-29,1479.72
2024-08-30,1479.8
2024-09-02,1480.38
2024-09-03,1480.35
2024-09-04,1480.02
2024-09-05,1479.46
2024-09-06,1478.0
2024-09-09,1476.35
2024-09-10,1475.45
2024-09-11,1473.69
2024-09-12,1473.65
2024-09-13,1472.8
2024-09-16,1471.55
2024-09-17,1469.78
2024-09-18,1468.18
2024-09-19,1465.82
2024-09-20,1464.76
2024-09-23,1464.42
2024-09-24,1464.12
2024-09-25,1463.66
2024-09-26,1464.01
2024-09-27,1463.73
2024-09-30,1463.12
2024-10-01,1463.29
2024-10-03,1461.8
2024-10-04,1459.91
2024-10-07,1455.8
2024-10-08,1454.34
2024-10-09,1452.53
2024-10-10,1451.15
2024-10-11,1449.46
2024-10-14,1447.93
2024-10-15,1446.84
2024-10-16,1445.16
2024-10-17,1443.18
2024-10-18,1441.7
2024-10-21,1439.11
2024-10-22,1436.12
2024-10-23,1432.37
2024-10-24,1429.31
2024-10-25,1424.97
2024-10-28,1422.12
2024-10-29,1420.18
2024-10-30,1419.24
2024-10-31,1417.54
2024-11-01,1416.63
2024-11-04,1413.99
2024-11-05,1410.67
2024-11-06,1409.08
2024-11-07,1406.88
2024-11-08,1405.13
2024-11-11,1402.88
2024-11-12,1399.87
2024-11-13,1395.48
2024-11-14,1390.34
2024-11-18,1385.99
2024-11-19,1382.21
2024-11-21,1371.72
2024-11-22,1362.5
2024-11-25,1354.83
2024-11-26,1345.97
2024-11-27,1340.24
2024-11-28,1333.47
2024-11-29,1327.84
2024-12-02,1323.45
2024-12-03,1322.09
2024-12-04,1320.03
2024-12-05,1318.34
2024-12-06,1316.02
2024-12-09,1314.09
2024-12-10,1311.53
2024-12-11,1308.48
2024-12-12,1305.95
2024-12-13,1304.14
2024-12-16,1301.75
2024-12-17,1299.01
2024-12-18,1295.52
2024-12-19,1291.97
2024-12-20,1287.68
2024-12-23,1283.92
2024-12-24,1279.93
2024-12-26,1278.52
2024-12-27,1276.64
2024-12-30,1274.36
2024-12-31,1272.67
2025-01-01,1270.55
2025-01-02,1268.8
2025-01-03,1266.09
2025-01-06,1262.05
2025-01-07,1258.59
2025-01-08,1254.43
2025-01-09,1249.64
2025-01-10,1244.25
2025-01-13,1237.28
2025-01-14,1232.57
2025-01-15,1228.51
2025-01-16,1225.46
2025-01-17,1223.03
2025-01-20,1220.11
2025-01-21,1215.65
2025-01-22,1211.2
2025-01-23,1206.99
2025-01-24,1202.57
2025-01-27,1197.84
2025-01-28,1193.25
2025-01-29,1189.47
2025-01-30,1185.06
2025-01-31,1181.7
2025-02-01,1177.87
2025-02-03,1174.23
2025-02-04,1172.3
2025-02-05,1171.2
2025-02-06,1170.92
2025-02-07,1169.95
2025-02-10,1168.94
2025-02-11,1167.81
2025-02-12,1166.28
2025-02-13,1164.14
2025-02-14,1160.16
2025-02-17,1157.13
2025-02-18,1154.31
2025-02-19,1151.51
2025-02-20,1149.94
2025-02-21,1147.33
2025-02-24,1144.31
2025-02-25,1141.8
2025-02-27,1139.34
2025-02-28,1136.6
2025-03-03,1133.32
2025-03-04,1130.36
2025-03-05,1129.67
2025-03-06,1129.93
2025-03-07,1130.5
2025-03-10,1130.99
2025-03-11,1131.14
2025-03-12,1131.03
2025-03-13,1130.57
2025-03-17,1130.83
2025-03-18,1131.92
2025-03-19,1133.55
2025-03-20,1135.27
2025-03-21,1137.37
2025-03-24,1139.86
2025-03-25,1141.53
2025-03-26,1143.1
2025-03-27,1145.21
2025-03-28,1146.69
2025-04-01,1147.79
2025-04-02,1149.66
2025-04-03,1151.63
2025-04-04,1151.5
2025-04-07,1149.9
2025-04-08,1149.17
2025-04-09,1148.49
2025-04-11,1149.12
2025-04-15,1151.54
2025-04-16,1154.73
2025-04-17,1158.83
2025-04-21,1162.14
2025-04-22,1164.92
2025-04-23,1167.83
2025-04-24,1170.52
2025-04-25,1171.4
2025-04-28,1172.91
2025-04-29,1174.62
2025-04-30,1176.26
2025-05-02,1179.82
2025-05-05,1186.38
2025-05-06,1191.65
2025-05-07,1197.4
2025-05-08,1202.72
2025-05-09,1206.78
2025-05-12,1212.87
2025-05-13,1219.01
2025-05-14,1225.0
2025-05-15,1232.1
2025-05-16,1238.98
2025-05-19,1245.23
2025-05-20,1250.69
2025-05-21,1255.94
2025-05-22,1260.47
2025-05-23,1265.76
2025-05-26,1271.03
2025-05-27,1276.26
2025-05-28,1281.54
2025-05-29,1287.7
2025-05-30,1293.39
2025-06-02,1300.24
2025-06-03,1305.42
2025-06-04,1310.54
2025-06-05,1316.28
2025-06-06,1322.37
