tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003120,Bajaj Auto,,2025-05-30,,2025-08-06,AGM
S0003120,Bajaj Auto,,2025-03-28,,2025-05-05,POM
S0003120,Bajaj Auto,,2024-07-29,,2024-09-03,POM
S0003120,Bajaj Auto,,2024-04-18,,2024-07-16,AGM
S0003120,Bajaj Auto,,2024-02-05,,2024-03-07,POM
S0003120,Bajaj Auto,,2024-01-15,,2024-02-15,POM
S0003120,Bajaj Auto,,2023-04-25,,2023-07-25,AGM
S0003120,Bajaj Auto,,2022-04-27,,2022-07-26,AGM
S0003120,Bajaj Auto,,2021-04-29,,2021-07-22,AGM
S0003120,Bajaj Auto,Buy Back of Shares,2024-02-16,2024-02-29,,Others
