Date,Revenue,Interest,Expenses,Financing Profit,Financing Margin %,Other Income,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,35574.0,15227.0,15044.0,5304.0,15.0,8386.0,0.0,13690.0,23.0,10475.0,18.83
2022-06-01,37274.0,16358.0,15021.0,5895.0,16.0,6929.0,0.0,12823.0,25.0,9617.0,17.25
2022-09-01,40930.0,18311.0,15915.0,6704.0,16.0,8252.0,0.0,14956.0,25.0,11163.0,19.97
2022-12-01,45002.0,20505.0,16682.0,7815.0,17.0,9121.0,0.0,16936.0,25.0,12735.0,22.77
2023-03-01,47548.0,22606.0,17770.0,7172.0,15.0,9610.0,0.0,16783.0,25.0,12634.0,22.57
2023-06-01,51168.0,25955.0,18470.0,6744.0,13.0,9853.0,0.0,16597.0,25.0,12403.0,22.12
2023-09-01,75039.0,41250.0,45349.0,-11560.0,-15.0,32528.0,0.0,20967.0,17.0,17312.0,22.17
2023-12-01,78008.0,43242.0,50530.0,-15764.0,-20.0,37007.0,0.0,21243.0,17.0,17718.0,22.73
2024-03-01,79434.0,43692.0,62938.0,-27196.0,-34.0,44958.0,0.0,17761.0,-1.0,18013.0,23.2
2024-06-01,81546.0,44580.0,49690.0,-12723.0,-16.0,35450.0,0.0,22727.0,24.0,17188.0,21.65
2024-09-01,83002.0,45414.0,52074.0,-14487.0,-17.0,38455.0,0.0,23968.0,22.0,18627.0,23.36
2024-12-01,85040.0,46914.0,41307.0,-3181.0,-4.0,27154.0,0.0,23973.0,24.0,18340.0,23.09
2025-03-01,86779.0,46986.0,47709.0,-7916.0,-9.0,33489.0,0.0,25573.0,25.0,19285.0,24.61
