Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,315,362,259,316,25,312,36
ThirtyDaysAgo,INR,315,362,259,316,25,312,36
SixtyDaysAgo,INR,318,390,255,319,33,309,35
NinetyDaysAgo,INR,319,390,255,320,32,313,35
OneWeekAgo,INR,405,466,321,409,31,400,34
ThirtyDaysAgo,INR,405,466,321,409,31,400,34
SixtyDaysAgo,INR,401,474,321,401,39,386,31
NinetyDaysAgo,INR,402,474,321,401,38,391,31
OneWeekAgo,INR,480,602,407,453,60,483,8
ThirtyDaysAgo,INR,480,602,407,453,60,483,8
